IRIS;km_pa;f_i;co2_i;n;snv;ind;tx;prix;dens
132010103;1374.9367237852343;1011.8176764715772;80.06972953650939;2;12487.45889955687;2708;0.05378585445845885;2672.002791346825;126.47720955894715
132010104;1414.0735556713216;600.1327846211955;37.53384728157815;2;13678.783286029642;1585.5;-0.006098572478527742;2737.72513562387;75.01659807764943
132010201;1385.8558465872457;945.4776665730756;92.22142008295604;3;17083.60047952048;2502.5;0.012824365904550383;2787.3931791454334;78.78980554775629
132010202;1574.435482761838;821.9370797116464;122.50511234755497;2;22147.363720073667;2172;0.015589823204679165;3625.120646926295;102.7421349639558
132010203;1434.008116786446;349.91907027760857;41.32539262521027;1;19739.945887445887;924;0.023144735724439647;3036.1317307692307;87.47976756940214
132010302;1422.802101195144;452.32209289944694;27.150477975146618;1;13144.350780608052;1217;0.020317462433977695;2668.7519804996955;113.08052322486174
132010303;1460.00833831579;496.0841057692777;33.761724816496844;1;15721.462400605833;1320.5;0.02786654258400989;3512.8551992409866;124.02102644231942
132010401;1833.3405210568433;384.7077615108401;63.25056547637655;2;17296.975455417065;1043;0.02772288117298749;3459.110099337748;48.08847018885501
132010402;1607.3104864467166;763.4328873133256;111.33790851979879;4;20129.506171039844;2058;0.015950225894926895;3775.2768304914744;47.71455545708285
132010501;1504.4251825676408;402.2873494560289;52.23300351920985;1;22120.288983050847;1062;0.03099357480495879;3272.8070175438597;100.57183736400722
132010502;1565.8981592625767;787.1396880542973;118.91801608692961;2;21200.591847563916;2073;0.02863389915707848;3060.9589502018844;98.39246100678716
132010503;1597.126992753552;751.6256454794886;112.2364281660954;2;20337.883737373737;1980;0.02945080401455691;3373.0625468164794;93.95320568493608
132010504;1896.8328578098922;771.5467241363555;166.24399428531208;5;20474.957920549292;2039;0.008802434246840685;3189.148684916801;38.577336206817776
132010505;1506.0910848458575;760.1206910146263;70.38376637489816;2;14858.380399002494;2005;0.03425131689588978;2136.642191574724;95.0150863768283
