IRIS	km_pa	f_i	co2_i	n	snv	ind	tx	prix	shape	dens
130220103	5705.754321373033	713.2566858566476	841.9347423532327	39	28253.472598870056	2124	0.03736960014032342	9126.292682926829	autre	4.572158242670818
130220104	5665.477468163754	696.2367460543107	811.6084396482906	121	29890.50123158657	2070.5	0.019123803115237425	11603.225806451614	autre	1.4385056736659314
130230000	7417.308635003429	1922.7175239524774	3012.3594664937586	146	27650.837472901825	4843.5	0.04658567878434039	4657.17230008244	autre	3.292324527315886
130240000	8837.393750096007	1064.6597953097387	1991.3116003706004	80	22237.8961635903	2763	0.01970950855123066	3641.4711033274957	autre	3.3270618603429334
130250000	8382.596761255954	1024.3017572076606	1835.7575363406847	121	29943.537764218785	2294.5	0.02219209437513503	4617.670886075949	autre	2.116325944643927
130260101	5599.539386082085	2753.7616740593708	3231.2751931611683	69	22819.292133979994	6598	0.02222836332991096	4270.193251533742	autre	9.977397369780329
130260102	6416.159862190162	1307.8806515221813	1746.8361439934345	47	21722.543381180225	3135	0.020730792845109702	3770.6498545101845	autre	6.9568119761818155
130260103	5901.246431854362	558.8031998462967	689.1532959302283	19	23134.82534579439	1337.5	0.02099577783635098	3272.619625137817	autre	7.352673682188114
130260104	5566.779615317681	1602.6274590489911	1865.4696770245325	89	22190.96822259784	3845.5	2.2733884473158383e-5	3379.9762443438913	autre	4.501762525418514
130260105	7071.504804444173	840.1946741770892	1257.9349018865985	28	22928.881694327472	2018.5	0.03961635732118807	3791.124684077506	autre	7.501738162295439
130260107	6186.043351846081	109.94745585867582	145.33648006770864	5	25711.839923954372	263	-0.05303174933662991	4453.125	autre	5.497372792933792
130280101	5583.158437634211	309.26657026053965	325.38761585433014	2	16768.73294675804	948.5	0.036029799110630645	4692.949826989619	autre	38.65832128256746
130280102	4379.0775448987315	1240.0151314328875	1045.3194974480296	11	20408.052432575358	3782	0.016959795548533885	4577.382430647292	autre	28.182162078020173
130280103	4808.107408785286	412.6240421611847	405.37307937862136	8	24020.514985938127	1244.5	0.034084215605105106	4834.14	autre	12.894501317537022
130280104	5623.982560853518	622.0215636412075	725.2181903074747	11	24945.79120234604	1875.5	0.025894832601138784	5166.516256157635	autre	14.136853719118353
130280105	4934.822033178607	396.708699391992	388.2616295466289	5	20821.029478079334	1197.5	0.0336218347204531	5539.949339207048	autre	19.835434969599604
130280106	4990.127274615976	1050.1156828193368	1065.053537299886	23	21868.18677763819	3184	0.022221620750046522	5368.23782234957	autre	11.414300900210183
130280107	5920.986409551796	898.3743683665629	1101.8164508903128	31	27182.704860088368	2716	0.023248635304778276	5670.778485491861	autre	7.244954583601313
130280108	5776.292903434993	667.0523946128618	780.2518444520744	4	18936.369035785287	2012	0.01674403997371443	3657.1428571428573	autre	41.69077466330386
130280109	5078.31922871776	466.61901640978283	470.4465679527669	4	16639.382703847514	1416.5	NA	5675	autre	29.163688525611427
130280110	5298.051730659317	2074.0909074375513	2268.702720349794	87	25687.558992805756	6255	0.018572991169705677	6070.043752819125	autre	5.960031343211354
130280111	6387.92747052866	1672.521794949337	2230.82140149372	144	27070.693692978977	5042	0.026295109453866816	6303.392200806813	autre	2.9036836717870433
130280112	4512.941042638622	753.4800025172917	666.0480239923664	11	21624.978848259252	2283.5	0.02663830062729544	4756.615905245347	autre	17.12454551175663
130280113	6033.848492799991	825.0005656312147	1026.0980896361023	87	23335.93400040024	2498.5	0.02078612003033342	5460.055350553505	autre	2.3706912805494675
130280114	7061.645925688954	625.8707766758582	920.4714191981564	16	21255.60380047506	1894.5	0.01329474394224528	5625.515947467167	autre	9.779230885560285
130290000	8463.11836782501	595.1980568023326	1063.6682133170582	150	27901.729281345564	1308	0.03353753788420333	4448.031045751634	autre	0.9919967613372211
130300000	7592.761987180097	2440.5940834786743	3943.915700708607	188	24444.301032565527	5036	0.017673309622463274	4238.838174273859	autre	3.2454708556897263
130310000	7282.882082169705	1396.6451866513628	2128.352029195071	69	25371.738702928873	3346	0.02345756549250244	4557.824858757062	autre	5.060308647287546
130320101	7399.891151005643	724.9118876507073	1135.2028665987016	181	29737.91262034869	1921.5	0.06858360980099376	5603.25638911789	autre	1.0012595133297062
130320102	5920.635140402799	1265.3756414518712	1583.6770136760651	123	31228.698995695842	3136.5	0.02882571184383753	6184.970828471412	autre	2.571901710268031
130320103	5645.862404778529	1140.6240543374347	1348.0267036582877	35	28375.124910136594	2782	0.030682963314569323	5303.029951690822	autre	8.14731467383882
130330000	9047.95840348605	2576.048097134792	4993.827448022145	141	27960.713060638678	5574	0.0358579511713939	8009.374125874126	autre	4.56746116513261
130350101	7582.204267840054	1353.598635879151	2152.3356239051404	133	24103.898195551825	3574.5	0.02764093698754766	3934.248046875	autre	2.544358338118705
130350102	7897.738724413155	1440.1862261614656	2407.4475285110657	133	25362.85835306498	3801	0.025770951310470913	3611.0158862876256	autre	2.70711696646892
130370101	7295.342801995451	1134.4070044264545	1765.9233924168852	45	27211.642743463435	2639	0.031287934757527	4494.008438818565	autre	6.302261135702525
130370102	6861.700914166541	1514.1830467139634	2183.2412143439933	85	23798.18311010856	3546.5	0.023930282381989354	3690.4820693709585	autre	4.453479549158716
130370103	6581.011290858971	1014.2573655397923	1403.0814593705884	22	25467.57044731821	2358.5	0.031704321548283065	3850.637931034483	autre	11.525651881134005
130390101	6192.767193111418	1602.2181363380157	2086.984130640705	49	21829.236956261237	4172.5	0.019894003044202524	3521.021021021021	autre	8.174582328255182
130390102	4394.623427227468	23.983392699669626	21.940725097978408	9	24857.230400000004	62.5	NA	3375	autre	0.6662053527686007
130390103	5270.150071778384	18.044275766436144	20.04477722522389	5	28021.50425531915	47	0.025441190305701022	3945.945945945946	autre	0.9022137883218072
130390105	5480.105260365142	1581.9264946492965	1828.123841643037	53	25722.458966270326	4121	0.021096125739161975	3408.815426997245	autre	7.461917427591021
130390106	5863.192797511116	1194.1694638764927	1456.3772439461372	24	21662.65722088353	3112.5	0.022755650031173413	3036.2694300518133	autre	12.439265248713465
130390107	6119.382754559856	854.7830058031328	1096.5843606965748	16	22621.05199820386	2227	0.008869592938688386	2617.779005524862	autre	13.35598446567395
130390108	6850.245505720388	906.9305841881321	1287.0229654386897	19	21723.014731954412	2369	0.012729775915479857	3329.4332210998878	autre	11.93329716037016
130400101	7541.276475911371	1627.378072617626	2605.106452958403	172	27116.044096209913	4116	0.02550196989303699	4896.947309711286	autre	2.3653751055488748
130400102	7164.631091378855	890.4862746745349	1344.609559512436	29	25269.03779990946	2209	0.037743527556523215	4676.976165803108	autre	7.676605816159784
130400103	7914.89573189082	1561.5529164693298	2629.326527939551	279	27422.886226203806	4018.5	0.033726149545590944	4452.123424021234	autre	1.3992409645782526
130410101	4486.18504677415	604.6022248823954	532.4977810186814	8	19397.58270950646	1509.5	0.004120573205268929	3243.7162162162163	autre	18.893819527574855
130410102	4198.308191970624	1168.5627364916172	951.3749452950685	29	20200.577261781906	2907	0.02267160403025259	3813.407671721677	autre	10.073816693893251
130410103	4889.381925964708	1173.5247091008707	1178.6887751394931	40	22650.88629737609	2915.5	0.025022650919322542	3449.0302066772656	autre	7.334529431880442
130410104	5221.947409341027	906.2844531053912	967.080093140826	13	20824.627276785715	2240	0.01328662803336833	3065.47341160221	autre	17.428547175103677
130410105	5969.51995140185	1041.8086337217665	1270.4265378226985	75	24769.62508112235	2619.5	0.015207315557981271	4729.305444887118	autre	3.472695445739222
130410106	5904.566970658474	1503.0922904855806	1835.7725816405086	58	22220.660438972165	3736	0.014066892678693765	4099.32647333957	autre	6.478846079679227
130410107	6062.167003439593	1152.5361093199756	1468.0205069663061	37	23181.152496058854	2854.5	0.030182857371511496	4048.2646592709984	autre	7.7874061440538895
130410108	6185.838083957264	965.357533551469	1261.0269615956656	149	24963.91327397815	2471	0.015338716044758671	5014.3633540372675	autre	1.6197274052876998
130420101	5763.399236955509	1514.737153181465	1825.5617691296054	116	28392.801653102746	3932	-8.595814481732189e-4	5837.913486005089	autre	3.2645197266841914
130420102	6344.567862480662	974.6663552175183	1300.2575819338863	93	28991.128780680916	2526	0.022397959732711525	4706.245585874799	autre	2.6200708473589205
130430101	5550.662498650949	1423.1712375019474	1662.9508448257388	76	23547.217923958964	3314	0.02779927624853684	4658.037209302325	autre	4.681484333887985
130430102	5278.281088027671	1626.0979895113949	1794.6672387934377	61	23587.104838709678	3782	0.01284251883059806	3846.8018575851393	autre	6.664336022587684
130430103	6285.218901939441	1058.6048538688933	1402.8451256158187	23	22732.128774928773	2457	0.022773248626063003	3875.1254612546127	autre	11.506574498574928
130440000	7931.746078517792	2046.3959891187305	3411.3543341856116	280	26601.667430377245	5063	0.01926251029949788	3673.0279394644936	autre	1.8271392759988665
130460000	7030.272311189909	1701.097648933888	2494.8139739962994	81	25756.564003384505	4136.5	0.013980130495534926	4808.668831168831	autre	5.250301385598419
130470101	6364.818329554184	1291.88531369504	1679.634819388964	12	22807.266133768353	3065	0.014598825229920287	2887.2972972972975	autre	26.914277368646665
130470102	6599.52667256466	954.4389937068731	1251.9953695320849	7	19091.282062582635	2269	0.011465823192102098	2623.1349206349205	autre	34.08710691810261
130470103	6749.521702435983	718.8022881531979	968.3704001236314	10	21408.367901234567	1701	0.009018077655732482	3164.3924050632913	autre	17.97005720382995
130470104	6190.424006963972	1369.042284935511	1766.5412428145994	25	24031.68721341745	3249.5	0.0022428689462883344	3256.454005934718	autre	13.690422849355109
130470105	5963.023630357984	713.4871999719865	892.1159909056818	8	22241.400711321872	1687	0.012458171779815785	2429.3115942028985	autre	22.296474999124577
130470106	6312.484833629234	932.3084659716963	1205.0387883516053	10	19609.84345857854	2209	0.016747169480050506	2451.277056277056	autre	23.307711649292408
130470107	5418.891166572612	621.8702384869594	659.4622816013484	4	16061.815296108292	1477.5	-2.3868362115619934e-4	2721.165644171779	autre	38.86688990543496
130470108	6690.936675065637	683.2229544591011	960.2567284387599	28	26544.052673879447	1617.5	0.022409115421405446	3907.6025917926568	autre	6.100204950527687
130470109	6681.757319049614	1067.5618395256868	1492.5833256280882	18	23371.42945951297	2525.5	0.021804083797230422	2808.810051736881	autre	14.827247771190093
130470110	6473.5462296500455	1456.1119882355238	1981.55505189934	26	23466.2024970964	3444	0.01354671543056618	3276.733564013841	autre	14.00107680995696
130470111	6041.914731826897	856.0655946042845	1067.1382603178456	7	19336.194918598914	2027	0.011242301254719367	3085.188679245283	autre	30.5737712358673
