CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
77101;878;2122;30820;73.3;;;;;;;;;;78.3;65.4;2;10.9;29.3;17.8;1.9;0.8;0.7;0.4;-27.3;14530;61770;4.3
77102;888;2356;26050;66.7;;;;;;;;;;84.1;75.1;2.7;6.3;24;9.6;3;1.8;0.8;0.4;-20.7;14890;42100;2.8
77103;863;2130;27470;75.1;;;;;;;;;;87;82.3;2.5;2.2;23.1;7.5;2.7;1.7;0.7;0.3;-20.3;16890;41700;2.5
77104;918;2300;20560;45.6;14.2;;;;;;;;29.2;72.7;66.3;3;3.4;27.7;6.7;7.2;3.6;2.3;1.3;-14.3;11210;32550;2.9
77105;917;2267;23560;57.7;;;;;;;;;;81.3;74.3;2.6;4.4;26.1;6;3.8;2;1.1;0.7;-17.2;13760;36630;2.7
77106;943;2525;27470;76.5;;;;;;;;;;91.3;83.3;2.7;5.3;17.4;10;2.5;1.5;0.7;0.3;-21.2;16070;45790;2.8
77107;935;2491;24920;66;;;;;;;;;;83;75.2;2.7;5.1;22.9;10.3;3.1;2.1;0.6;0.4;-19.3;15310;39970;2.6
77108;1083;2783;23250;59.2;;;;;;;;;;73.3;68.4;2.4;2.5;32.4;6.2;4.7;2.7;1.4;0.6;-16.6;14660;35460;2.4
77109;1054;3074;27630;77.1;;;;;;;;;;87.8;81;2.4;4.4;21.6;8.8;2.6;1.8;0.6;0.2;-20.8;17740;44170;2.5
77110;1332;3126;20730;50.2;12.4;;;;;;;;25.8;71.3;64.9;3;3.4;30.6;8.4;5.6;2.5;2;1.1;-15.9;11880;34040;2.9
77111;1128;3073;26660;72.4;;;;;;;;;;92;87.7;2.5;1.8;18.7;4.9;3.1;1.9;0.9;0.3;-18.7;16870;41430;2.5
77112;1263;3377;24310;64.1;7.1;;;;;;;;;76.8;69.3;2.8;4.7;28;9;3.6;2.2;1;0.4;-17.4;14860;38740;2.6
77113;1126;3106;23980;61.5;7;;;;;;;;;87.5;82.3;2.7;2.5;20.2;5.2;4.2;2.5;1;0.7;-17.1;14180;36030;2.5
77114;1287;3178;24910;63.9;6.5;;;;;;;;;86.4;80.7;2.5;3.2;20.7;8.6;3.2;1.8;0.9;0.5;-18.9;14890;40690;2.7
77115;1173;3155;24360;64.8;;;;;;;;;;85.1;79.7;2.5;2.9;19.9;8.5;4;2.4;0.9;0.7;-17.5;15300;37500;2.5
77116;1218;3181;27460;74;;;;;;;;;;91.1;83.9;2.4;4.8;18.9;10.2;2.1;1.4;0.4;0.3;-22.3;16070;49500;3.1
77117;1328;3205;21920;52.6;8.6;;;;;;;;;72.5;67.3;2.7;2.5;29.4;9.8;4.7;2.5;1.4;0.8;-16.4;13830;33600;2.4
77118;881;2589;24950;63.5;;;;;;;;;;90.1;84.2;2.4;3.5;17.5;5.3;4.7;2.9;1.1;0.7;-17.6;14070;37320;2.7
77119;1416;3214;20260;45;14.7;;;;;;;;25.6;64.9;59.3;2.9;2.7;34.7;8;7.2;2.9;2.8;1.5;-14.8;11900;33540;2.8
77120;1286;3350;26670;72.1;7.8;;;;;;;;;87;80.2;2.7;4.1;19.7;11.7;3;1.7;1;0.3;-21.4;14720;45700;3.1
77121;1406;3589;20350;50.2;13.5;;;;;;;8.2;27.1;69.5;63.2;2.9;3.4;33.1;5.7;6.4;2.8;2.4;1.2;-14.7;12000;31360;2.6
77122;1448;3694;25180;65.2;5.9;;;;;;;;;81.4;72.4;2.8;6.2;23.4;11;3.2;1.8;0.9;0.5;-19;15170;42070;2.8
