IRIS;DEC_PIMP18;DEC_TP6018;DEC_Q118;DEC_MED18;DEC_Q318;DEC_EQ18;DEC_D118;DEC_D218;DEC_D318;DEC_D418;DEC_D618;DEC_D718;DEC_D818;DEC_D918;DEC_RD18;DEC_S80S2018;DEC_GI18;DEC_PACT18;DEC_PTSA18;DEC_PCHO18;DEC_PBEN18;DEC_PPEN18;DEC_PAUT18;DEC_NOTE18
381930107;;;11680;18660;27240;0.83;6440;10180;13090;16030;21490;25440;29520;36600;5.7;7.1;0.343;80.4;73.8;4.3;2.3;18.3;1.3;0
382290101;64.6;15;17400;26010;37500;0.77;10480;15700;19280;22720;29600;34470;40160;49610;4.7;5.7;0.31;67.2;62;2.2;3;28.6;4.2;0
382290102;66.1;12.5;18940;27060;36650;0.65;11640;17070;20700;23770;30340;34770;39770;49260;4.2;5.2;0.298;59;54.1;1.4;3.5;36.6;4.4;0
382290201;69.2;9.5;19910;27260;37300;0.64;13860;18050;21520;24310;30840;34720;40190;52220;3.8;5.3;0.315;62.4;56.2;1.7;4.5;30.4;7.2;0
382290202;68.8;;18850;27050;37180;0.68;12260;16800;20460;23770;30380;35310;41410;50140;4.1;4.9;0.297;55.8;49.8;1.9;4.1;39.1;5.1;0
382290203;68.1;;19880;28780;39480;0.68;13150;18100;21510;25410;32250;36680;42370;52060;4;5.1;0.306;54.1;47.7;1.7;4.7;38.5;7.4;0
382290301;81.4;;28420;41050;59010;0.75;16870;25250;30890;35070;46880;54410;62930;83490;4.9;6.6;0.362;61.8;51;1.5;9.3;24.1;14.1;0
382290302;82.6;;29590;43110;66200;0.85;18940;26430;32600;37940;50860;60840;72640;105000;5.5;7.2;0.383;66.3;53.8;1.4;11.1;23;10.7;0
383170101;50.4;25.4;12930;19580;25800;0.66;8170;11100;14630;17400;21850;24390;27870;33150;4.1;4.9;0.279;74.2;68.6;4.3;1.3;24.3;1.5;0
383170102;51.5;15.9;15350;20690;26560;0.54;10740;14450;16670;18860;22520;25120;28010;33930;3.2;3.8;0.244;69;64.7;2.6;1.7;29.4;1.6;0
383170103;;;5680;10870;18340;1.16;1050;4690;6880;8910;13470;16160;19840;25030;23.8;15.9;0.404;71.6;64.2;6.3;1.1;27.5;0.9;0
383170104;46.1;20.8;14060;19370;25800;0.61;8620;12860;15360;17460;21750;24630;27220;31520;3.7;4.5;0.27;67.6;63.1;3.6;0.9;30.6;1.8;0
383170105;50.2;22;14090;20060;27350;0.66;7480;12150;15470;17810;23130;25500;29330;34300;4.6;5.7;0.299;68.1;63.2;3.5;1.4;29.1;2.8;0
383820102;58.6;20.2;14630;23030;33290;0.81;8940;12810;16380;19810;26310;30750;35920;42740;4.8;6.3;0.329;73.9;68.7;2.6;2.6;22.4;3.7;0
383820103;55.6;16.1;15860;22420;29730;0.62;9120;14020;17480;20020;25610;28090;31730;37430;4.1;5.3;0.29;69.8;64.8;2.2;2.8;27;3.2;0
383820104;76.7;;23330;30780;40030;0.54;16750;21990;24480;27710;34400;37670;43520;50810;3;3.7;0.256;55.1;51.1;1.4;2.6;38.9;6;0
